Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-2F-A9KO,0.423,0.614,0.901
TCGA-2F-A9KP,0.514,0.144,0.304
TCGA-2F-A9KR,0.538,0.094,0.218
TCGA-2F-A9KT,0.498,0.38,0.753
TCGA-2F-A9KW,0.561,0.221,0.564
TCGA-4Z-AA7M,0.728,0.216,1.158
TCGA-4Z-AA7O,0.298,0.13,0.11
TCGA-4Z-AA7Q,0.676,0.798,3.322
TCGA-4Z-AA7R,0.623,0.038,0.126
TCGA-4Z-AA7W,0.855,0.774,9.164
TCGA-4Z-AA80,0.528,0.243,0.543
TCGA-4Z-AA81,0.407,0.24,0.329
TCGA-4Z-AA82,0.436,0.199,0.308
TCGA-4Z-AA83,0.285,0.118,0.094
TCGA-4Z-AA84,0.674,0.301,1.243
TCGA-4Z-AA86,0.387,0.817,1.031
TCGA-4Z-AA87,0.862,0.176,2.199
TCGA-4Z-AA89,0.331,0.108,0.106
TCGA-5N-A9KI,0.567,0.226,0.592
TCGA-5N-A9KM,0.732,0.218,1.188
TCGA-BL-A0C8,0.25,0.168,0.112
TCGA-BL-A13I,0.432,0.881,1.34
TCGA-BL-A13J,0.303,0.348,0.303
TCGA-BL-A3JM,0.725,0.148,0.78
TCGA-BL-A5ZZ,0.409,0.669,0.926
TCGA-BT-A0S7,0.372,0.469,0.555
TCGA-BT-A0YX,0.363,0.485,0.552
TCGA-BT-A20J,0.649,0.465,1.72
TCGA-BT-A20N,0.484,0.242,0.454
TCGA-BT-A20O,0.289,1.98,1.608
TCGA-BT-A20P,0.625,0.054,0.179
TCGA-BT-A20Q,0.261,0.248,0.175
TCGA-BT-A20R,0.5,0.419,0.838
TCGA-BT-A20T,0.441,0.191,0.301
TCGA-BT-A20U,0.238,0.532,0.332
TCGA-BT-A20W,0.474,0.197,0.355
TCGA-BT-A2LB,0.519,0.36,0.775
TCGA-BT-A3PH,0.534,0.071,0.163
TCGA-BT-A3PJ,0.469,0.272,0.48
TCGA-BT-A3PK,0.478,1.324,2.422
TCGA-BT-A42C,0.794,0.168,1.297
TCGA-BT-A42E,0.726,0.361,1.917
TCGA-C4-A0F6,0.338,0.191,0.195
TCGA-CF-A1HR,0.377,0.362,0.438
TCGA-CF-A1HS,0.552,0.274,0.676
TCGA-CF-A3MG,0.348,0.113,0.121
TCGA-CF-A3MH,0.508,0.088,0.181
TCGA-CF-A3MI,0.667,0.067,0.268
TCGA-CF-A47S,0.58,0.432,1.194
TCGA-CF-A47T,0.793,0.057,0.434
TCGA-CF-A47V,0.529,0.058,0.13
TCGA-CF-A47X,0.552,0.055,0.137
TCGA-CF-A47Y,0.453,0.067,0.11
TCGA-CF-A5UA,0.874,0.058,0.808
TCGA-CF-A7I0,0.493,0.256,0.497
TCGA-CF-A9FF,0.456,0.254,0.425
TCGA-CF-A9FL,0.397,0.124,0.164
TCGA-CU-A0YN,0.423,0.441,0.646
TCGA-CU-A0YO,0.119,1.024,0.278
TCGA-CU-A0YR,0.405,0.358,0.487
TCGA-CU-A3KJ,0.62,0.095,0.309
TCGA-CU-A3YL,0.688,0.202,0.891
TCGA-CU-A5W6,0.743,0.346,1.996
TCGA-CU-A72E,0.607,0.228,0.704
TCGA-DK-A1A3,0.491,0.38,0.734
TCGA-DK-A1A5,0.462,0.229,0.393
TCGA-DK-A1A7,0.827,0.118,1.133
TCGA-DK-A1AB,0.261,0.434,0.307
TCGA-DK-A1AC,0.812,0.13,1.124
TCGA-DK-A1AD,0.622,0.138,0.455
TCGA-DK-A1AE,0.575,0.096,0.26
TCGA-DK-A1AG,0.411,0.062,0.086
TCGA-DK-A2I1,0.642,0.232,0.831
TCGA-DK-A2I2,0.658,0.686,2.642
TCGA-DK-A2I4,0.287,0.849,0.684
TCGA-DK-A2I6,0.841,0.177,1.881
TCGA-DK-A3IK,0.618,0.337,1.088
TCGA-DK-A3IL,0.618,0.112,0.364
TCGA-DK-A3IM,0.714,0.097,0.486
TCGA-DK-A3IN,0.461,0.424,0.727
TCGA-DK-A3IS,0.601,0.048,0.143
TCGA-DK-A3IT,0.422,0.326,0.477
TCGA-DK-A3IU,0.378,0.971,1.182
TCGA-DK-A3IV,0.433,0.397,0.606
TCGA-DK-A3WW,0.529,0.485,1.088
TCGA-DK-A3WX,0.572,0.861,2.306
TCGA-DK-A3X1,0.727,0.359,1.908
TCGA-DK-A6AV,0.756,0.334,2.066
TCGA-DK-A6AW,0.498,0.049,0.096
TCGA-DK-A6B0,0.499,0.052,0.104
TCGA-DK-A6B1,0.592,0.065,0.189
TCGA-DK-A6B2,0.4,0.356,0.475
TCGA-DK-A6B5,0.6,0.187,0.559
TCGA-DK-A6B6,0.391,0.266,0.342
TCGA-DK-AA6L,0.646,0.193,0.702
TCGA-DK-AA6M,0.564,0.29,0.751
TCGA-DK-AA6Q,0.564,0.231,0.598
TCGA-DK-AA6R,0.54,0.257,0.603
TCGA-DK-AA6S,0.372,0.292,0.345
TCGA-DK-AA6U,0.601,0.137,0.414
TCGA-DK-AA6W,0.725,0.108,0.572
TCGA-DK-AA6X,0.425,0.619,0.914
TCGA-DK-AA71,0.565,0.135,0.351
TCGA-DK-AA77,0.415,0.105,0.148
TCGA-E5-A2PC,0.641,0.093,0.331
TCGA-E7-A3X6,0.411,0.252,0.352
TCGA-E7-A3Y1,0.532,0.159,0.362
TCGA-E7-A4XJ,0.355,0.135,0.148
TCGA-E7-A541,0.521,0.285,0.621
TCGA-E7-A677,0.348,0.093,0.099
TCGA-E7-A678,0.406,0.046,0.063
TCGA-E7-A6MD,0.511,0.378,0.79
TCGA-E7-A6ME,0.595,0.153,0.451
TCGA-E7-A7DU,0.625,0.09,0.302
TCGA-E7-A7DV,0.832,0.651,6.432
TCGA-E7-A7XN,0.418,1.028,1.475
TCGA-E7-A85H,0.878,0.119,1.718
TCGA-E7-A8O7,0.192,0.111,0.053
TCGA-E7-A97P,0.301,0.592,0.509
TCGA-E7-A97Q,0.608,0.162,0.504
TCGA-FD-A3B3,0.544,1.458,3.472
TCGA-FD-A3B5,0.509,0.197,0.408
TCGA-FD-A3B6,0.691,0.434,1.938
TCGA-FD-A3B7,0.454,1.159,1.927
TCGA-FD-A3N5,0.503,0.15,0.304
TCGA-FD-A3NA,0.451,0.377,0.62
TCGA-FD-A3SJ,0.864,0.366,4.666
TCGA-FD-A3SL,0.316,0.416,0.384
TCGA-FD-A3SM,0.299,0.266,0.226
TCGA-FD-A3SN,0.57,0.259,0.689
TCGA-FD-A3SO,0.446,0.444,0.715
TCGA-FD-A3SP,0.271,0.983,0.729
TCGA-FD-A3SQ,0.235,0.554,0.339
TCGA-FD-A3SR,0.623,0.274,0.906
TCGA-FD-A3SS,0.69,0.189,0.842
TCGA-FD-A43P,0.661,0.407,1.587
TCGA-FD-A43U,0.825,1.077,10.134
TCGA-FD-A43Y,0.63,0.583,1.98
TCGA-FD-A5BR,0.375,0.36,0.432
TCGA-FD-A5BT,0.848,1.646,18.429
TCGA-FD-A5BU,0.337,0.763,0.774
TCGA-FD-A5BV,0.47,0.114,0.201
TCGA-FD-A5BX,0.544,0.371,0.886
TCGA-FD-A5BY,0.527,0.25,0.556
TCGA-FD-A5BZ,0.315,0.38,0.349
TCGA-FD-A5C0,0.433,0.27,0.412
TCGA-FD-A5C1,0.651,0.592,2.205
TCGA-FD-A62N,0.451,1.394,2.288
TCGA-FD-A62O,0.337,0.076,0.077
TCGA-FD-A62P,0.537,0.724,1.682
TCGA-FD-A62S,0.409,0.634,0.878
TCGA-FD-A6TA,0.488,0.415,0.789
TCGA-FD-A6TB,0.448,1.287,2.087
TCGA-FD-A6TC,0.589,0.256,0.735
