Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-3C-AAAU,0.72,0.1,0.514
TCGA-3C-AALI,0.837,0.2,2.063
TCGA-3C-AALJ,0.808,0.224,1.886
TCGA-3C-AALK,0.521,0.305,0.664
TCGA-4H-AAAK,0.435,0.282,0.434
TCGA-5L-AAT0,0.403,0.435,0.586
TCGA-5T-A9QA,0.898,0.078,1.382
TCGA-A1-A0SD,0.371,0.486,0.574
TCGA-A1-A0SE,0.433,0.541,0.827
TCGA-A1-A0SF,0.578,0.375,1.028
TCGA-A1-A0SG,0.525,0.289,0.64
TCGA-A1-A0SH,0.405,0.62,0.843
TCGA-A1-A0SI,0.547,0.48,1.159
TCGA-A1-A0SJ,0.613,0.183,0.577
TCGA-A1-A0SK,0.904,0.025,0.469
TCGA-A1-A0SM,0.58,0.341,0.943
TCGA-A1-A0SN,0.654,0.31,1.171
TCGA-A1-A0SP,0.831,0.329,3.246
TCGA-A2-A04N,0.391,0.204,0.261
TCGA-A2-A04P,0.87,0.212,2.835
TCGA-A2-A04Q,0.65,1.816,6.759
TCGA-A2-A04R,0.684,0.086,0.372
TCGA-A2-A04T,0.884,0.192,2.922
TCGA-A2-A04U,0.898,0.11,1.942
TCGA-A2-A04V,0.56,0.107,0.271
TCGA-A2-A04W,0.853,0.733,8.53
TCGA-A2-A04X,0.819,0.375,3.391
TCGA-A2-A04Y,0.735,0.328,1.814
TCGA-A2-A0CK,0.5,0.229,0.457
TCGA-A2-A0CL,0.455,1.523,2.542
TCGA-A2-A0CM,0.788,0.343,2.54
TCGA-A2-A0CP,0.474,0.549,0.988
TCGA-A2-A0CQ,0.736,0.163,0.909
TCGA-A2-A0CR,0.779,1.596,11.223
TCGA-A2-A0CS,0.638,0.333,1.171
TCGA-A2-A0CT,0.816,0.08,0.706
TCGA-A2-A0CU,0.617,0.277,0.893
TCGA-A2-A0CV,0.418,0.416,0.597
TCGA-A2-A0CW,0.876,0.221,3.109
TCGA-A2-A0CX,0.743,0.348,2.009
TCGA-A2-A0D1,0.862,0.101,1.261
TCGA-A2-A0D2,0.881,0.556,8.227
TCGA-A2-A0D3,0.502,0.188,0.379
TCGA-A2-A0D4,0.78,0.116,0.826
TCGA-A2-A0EM,0.42,0.196,0.284
TCGA-A2-A0EN,0.342,0.893,0.926
TCGA-A2-A0EO,0.377,0.301,0.365
TCGA-A2-A0EQ,0.682,0.594,2.549
TCGA-A2-A0ER,0.507,0.16,0.329
TCGA-A2-A0ET,0.646,0.078,0.284
TCGA-A2-A0EU,0.621,0.127,0.418
TCGA-A2-A0EV,0.524,0.376,0.83
TCGA-A2-A0EX,0.41,0.381,0.53
TCGA-A2-A0EY,0.772,0.306,2.081
TCGA-A2-A0SU,0.506,0.392,0.804
TCGA-A2-A0SV,0.746,0.3,1.761
TCGA-A2-A0SW,0.782,0.395,2.84
TCGA-A2-A0SX,0.597,0.411,1.216
TCGA-A2-A0SY,0.376,0.271,0.326
TCGA-A2-A0T0,0.887,0.373,5.843
TCGA-A2-A0T1,0.63,1.087,3.696
TCGA-A2-A0T2,0.886,0.143,2.233
TCGA-A2-A0T3,0.759,0.209,1.316
TCGA-A2-A0T4,0.444,0.544,0.87
TCGA-A2-A0T5,0.493,0.275,0.534
TCGA-A2-A0T6,0.195,0.411,0.198
TCGA-A2-A0T7,0.457,0.542,0.913
TCGA-A2-A0YC,0.371,0.277,0.327
TCGA-A2-A0YD,0.346,0.449,0.475
TCGA-A2-A0YE,0.895,0.179,3.039
TCGA-A2-A0YF,0.561,0.152,0.388
TCGA-A2-A0YG,0.727,0.225,1.201
TCGA-A2-A0YH,0.601,0.422,1.27
TCGA-A2-A0YI,0.305,0.604,0.53
TCGA-A2-A0YL,0.183,0.96,0.431
TCGA-A2-A0YM,0.862,0.207,2.59
TCGA-A2-A0YT,0.701,0.182,0.853
TCGA-A2-A1FV,0.764,0.085,0.553
TCGA-A2-A1FW,0.806,0.056,0.464
TCGA-A2-A1FX,0.579,0.189,0.521
TCGA-A2-A1FZ,0.385,0.492,0.616
TCGA-A2-A1G0,0.322,0.387,0.368
TCGA-A2-A1G1,0.824,0.491,4.591
TCGA-A2-A1G4,0.539,0.15,0.35
TCGA-A2-A259,0.389,0.582,0.74
TCGA-A2-A25C,0.62,0.274,0.893
TCGA-A2-A25D,0.633,0.384,1.324
TCGA-A2-A25E,0.759,0.234,1.472
TCGA-A2-A3KC,0.373,0.505,0.601
TCGA-A2-A3KD,0.484,0.469,0.882
TCGA-A2-A3XS,0.812,0.268,2.317
TCGA-A2-A3XT,0.893,0.428,7.138
TCGA-A2-A3XU,0.904,0.075,1.426
TCGA-A2-A3XV,0.896,0.267,4.587
TCGA-A2-A3XX,0.861,0.278,3.443
TCGA-A2-A3XY,0.691,0.672,3.004
TCGA-A2-A3XZ,0.74,1.137,6.486
TCGA-A2-A3Y0,0.903,0.375,6.995
TCGA-A2-A4RW,0.595,0.53,1.554
TCGA-A2-A4RX,0.673,0.498,2.05
TCGA-A2-A4S1,0.849,0.388,4.365
TCGA-A2-A4S2,0.622,0.328,1.079
TCGA-A2-A4S3,0.86,0.443,5.443
TCGA-A7-A0CD,0.579,0.058,0.16
TCGA-A7-A0CE,0.837,0.139,1.42
TCGA-A7-A0CG,0.332,0.777,0.773
TCGA-A7-A0CH,0.353,0.131,0.143
TCGA-A7-A0CJ,0.807,0.079,0.66
TCGA-A7-A0D9,0.716,0.132,0.663
TCGA-A7-A0DA,0.801,0.307,2.476
TCGA-A7-A0DB,0.539,0.269,0.629
TCGA-A7-A13D,0.847,0.273,3.032
TCGA-A7-A13E,0.876,0.093,1.307
TCGA-A7-A13F,0.716,0.136,0.683
TCGA-A7-A13H,0.488,0.621,1.182
TCGA-A7-A26G,0.667,0.783,3.134
TCGA-A7-A26H,0.479,0.285,0.523
TCGA-A7-A2KD,0.638,0.192,0.674
TCGA-A7-A3IY,0.511,0.623,1.301
TCGA-A7-A3IZ,0.635,0.075,0.259
TCGA-A7-A3J0,0.529,0.09,0.202
TCGA-A7-A3J1,0.449,0.442,0.72
TCGA-A7-A3RF,0.738,0.171,0.966
TCGA-A7-A425,0.725,0.398,2.097
TCGA-A7-A4SA,0.663,0.67,2.637
TCGA-A7-A4SB,0.721,0.176,0.907
TCGA-A7-A4SD,0.781,0.397,2.838
TCGA-A7-A4SE,0.827,0.341,3.256
TCGA-A7-A4SF,0.832,0.117,1.165
TCGA-A7-A5ZV,0.897,0.134,2.344
TCGA-A7-A5ZW,0.331,0.621,0.614
TCGA-A7-A5ZX,0.259,0.807,0.565
TCGA-A7-A6VV,0.738,0.315,1.774
TCGA-A7-A6VW,0.904,0.209,3.919
TCGA-A7-A6VX,0.713,0.119,0.588
TCGA-A7-A6VY,0.869,0.426,5.631
TCGA-A8-A06N,0.768,0.07,0.462
TCGA-A8-A06O,0.749,0.169,1.009
TCGA-A8-A06P,0.446,0.27,0.436
TCGA-A8-A06Q,0.873,0.097,1.33
TCGA-A8-A06R,0.792,0.173,1.323
TCGA-A8-A06T,0.699,0.152,0.705
TCGA-A8-A06U,0.832,0.131,1.292
TCGA-A8-A06X,0.809,0.239,2.021
TCGA-A8-A06Z,0.831,0.078,0.768
TCGA-A8-A075,0.642,0.264,0.945
TCGA-A8-A076,0.716,0.194,0.979
TCGA-A8-A079,0.735,0.115,0.64
TCGA-A8-A07E,0.445,0.475,0.761
TCGA-A8-A07F,0.596,0.148,0.437
TCGA-A8-A07G,0.543,0.525,1.249
TCGA-A8-A07I,0.652,0.217,0.811
TCGA-A8-A07J,0.442,0.34,0.539
TCGA-A8-A07L,0.763,0.131,0.843
TCGA-A8-A07O,0.865,0.386,4.94
TCGA-A8-A07P,0.749,0.154,0.921
TCGA-A8-A07U,0.704,1.425,6.77
TCGA-A8-A07W,0.664,0.134,0.529
TCGA-A8-A07Z,0.783,0.117,0.844
TCGA-A8-A081,0.747,0.164,0.966
TCGA-A8-A082,0.524,0.144,0.318
TCGA-A8-A085,0.712,0.102,0.503
TCGA-A8-A086,0.507,0.164,0.337
TCGA-A8-A08A,0.551,0.219,0.538
TCGA-A8-A08B,0.833,0.176,1.757
TCGA-A8-A08C,0.524,0.055,0.12
TCGA-A8-A08G,0.891,0.129,2.116
TCGA-A8-A08I,0.639,0.188,0.665
TCGA-A8-A08J,0.788,0.195,1.45
TCGA-A8-A08L,0.831,0.191,1.876
TCGA-A8-A08O,0.433,0.207,0.316
TCGA-A8-A08R,0.808,0.371,3.124
TCGA-A8-A08T,0.422,0.126,0.184
TCGA-A8-A08X,0.644,0.693,2.505
TCGA-A8-A08Z,0.296,0.294,0.247
TCGA-A8-A090,0.586,0.207,0.586
TCGA-A8-A091,0.547,0.093,0.224
TCGA-A8-A092,0.731,0.122,0.664
TCGA-A8-A093,0.55,0.082,0.201
TCGA-A8-A094,0.821,0.417,3.826
TCGA-A8-A095,0.457,0.217,0.366
TCGA-A8-A096,0.289,0.293,0.238
TCGA-A8-A097,0.604,0.251,0.765
TCGA-A8-A099,0.711,0.095,0.469
TCGA-A8-A09A,0.53,0.497,1.12
