Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-3L-AA1B,0.672,0.421,1.722
TCGA-4T-AA8H,0.574,0.097,0.262
TCGA-5M-AAT4,0.867,0.164,2.146
TCGA-5M-AAT5,0.83,0.127,1.237
TCGA-5M-AAT6,0.67,1.221,4.97
TCGA-5M-AATA,0.811,0.321,2.747
TCGA-5M-AATE,0.795,0.106,0.824
TCGA-A6-2671,0.876,0.115,1.621
TCGA-A6-2674,0.659,0.917,3.544
TCGA-A6-2675,0.457,0.413,0.695
TCGA-A6-2678,0.723,0.147,0.769
TCGA-A6-2681,0.864,0.259,3.291
TCGA-A6-2683,0.909,0.054,1.076
TCGA-A6-2685,0.706,0.777,3.727
TCGA-A6-2686,0.821,0.251,2.297
TCGA-A6-3807,0.751,0.339,2.043
TCGA-A6-3810,0.661,0.239,0.929
TCGA-A6-4105,0.722,0.228,1.182
TCGA-A6-4107,0.682,0.318,1.361
TCGA-A6-5656,0.868,0.143,1.871
TCGA-A6-5657,0.673,0.875,3.608
TCGA-A6-5659,0.75,0.118,0.706
TCGA-A6-5660,0.641,0.099,0.353
TCGA-A6-5661,0.593,0.253,0.739
TCGA-A6-5664,0.432,0.718,1.092
TCGA-A6-5665,0.657,0.225,0.863
TCGA-A6-5666,0.892,0.081,1.34
TCGA-A6-5667,0.742,0.139,0.8
TCGA-A6-6137,0.41,0.41,0.571
TCGA-A6-6138,0.648,0.296,1.087
TCGA-A6-6141,0.4,0.725,0.965
TCGA-A6-6142,0.675,0.341,1.419
TCGA-A6-6648,0.758,0.336,2.107
TCGA-A6-6651,0.47,0.737,1.308
TCGA-A6-6652,0.837,0.093,0.948
TCGA-A6-6653,0.574,0.114,0.308
TCGA-A6-6654,0.559,0.763,1.932
TCGA-A6-6781,0.473,0.501,0.898
TCGA-A6-6782,0.541,0.238,0.562
TCGA-A6-A566,0.4,0.71,0.948
TCGA-A6-A567,0.785,0.201,1.464
TCGA-A6-A56B,0.826,0.151,1.433
TCGA-AA-3489,0.52,1.007,2.182
TCGA-AA-3492,0.895,0.114,1.944
TCGA-AA-3496,0.669,0.229,0.926
TCGA-AA-3502,0.715,0.103,0.516
TCGA-AA-3506,0.86,0.23,2.839
TCGA-AA-3510,0.709,0.373,1.815
