Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-BA-4074,0.489,0.413,0.791
TCGA-BA-5151,0.472,0.199,0.357
TCGA-BA-5152,0.631,0.518,1.773
TCGA-BA-5153,0.167,0.16,0.064
TCGA-BA-5555,0.51,0.354,0.738
TCGA-BA-5559,0.337,0.254,0.258
TCGA-BA-6870,0.113,0.545,0.139
TCGA-BA-6871,0.023,0.132,0.006
TCGA-BA-A4IF,0.359,0.559,0.625
TCGA-BA-A4IG,0.487,0.402,0.764
TCGA-BA-A4IH,0.496,0.09,0.178
TCGA-BA-A6DE,0.476,0.272,0.495
TCGA-BA-A8YP,0.522,0.202,0.441
TCGA-BB-4223,0.49,0.162,0.312
TCGA-BB-4224,0.373,0.12,0.143
TCGA-BB-4228,0.445,0.061,0.098
TCGA-BB-A5HU,0.492,0.55,1.066
TCGA-BB-A5HY,0.48,0.29,0.535
TCGA-BB-A6UM,0.467,0.115,0.201
TCGA-CN-4723,0.869,0.439,5.833
TCGA-CN-4725,0.829,0.207,2.01
TCGA-CN-4730,0.175,0.368,0.156
TCGA-CN-4735,0.436,0.221,0.342
TCGA-CN-4739,0.579,0.57,1.571
TCGA-CN-4741,0.278,0.13,0.1
TCGA-CN-4742,0.255,0.675,0.462
TCGA-CN-5355,0.347,0.557,0.592
TCGA-CN-5356,0.553,0.46,1.138
TCGA-CN-5359,0.502,1.191,2.401
TCGA-CN-5363,0.568,0.538,1.413
TCGA-CN-5366,0.45,0.808,1.321
TCGA-CN-5367,0.453,0.396,0.655
TCGA-CN-5370,0.195,0.632,0.306
TCGA-CN-5374,0.659,0.386,1.496
TCGA-CN-6010,0.445,0.448,0.719
TCGA-CN-6018,0.67,0.778,3.162
TCGA-CN-6022,0.369,0.537,0.627
TCGA-CN-6023,0.572,0.588,1.572
TCGA-CN-6988,0.567,0.115,0.302
TCGA-CN-6989,0.254,0.595,0.405
TCGA-CN-6992,0.307,0.207,0.184
TCGA-CN-6995,0.099,0.457,0.101
TCGA-CN-6996,0.502,0.575,1.161
TCGA-CN-6997,0.45,0.14,0.229
TCGA-CN-A499,0.144,0.359,0.121
TCGA-CN-A49A,0.422,0.281,0.411
TCGA-CN-A49B,0.184,0.259,0.117
TCGA-CN-A49C,0.35,0.138,0.148
TCGA-CN-A63U,0.592,0.227,0.659
TCGA-CN-A63W,0.341,0.156,0.162
TCGA-CN-A641,0.19,0.268,0.125
TCGA-CN-A6V3,0.238,0.493,0.308
TCGA-CN-A6V7,0.438,0.075,0.117
TCGA-CQ-5326,0.183,0.566,0.254
TCGA-CQ-5331,0.306,1.246,1.097
TCGA-CQ-6224,0.479,0.743,1.364
TCGA-CQ-6225,0.149,0.094,0.033
TCGA-CQ-6227,0.453,0.966,1.6
TCGA-CQ-6228,0.245,0.103,0.067
TCGA-CQ-7068,0.315,0.245,0.226
TCGA-CQ-7072,0.507,0.536,1.102
TCGA-CQ-A4C6,0.114,0.774,0.2
TCGA-CQ-A4CB,0.404,0.861,1.168
TCGA-CQ-A4CD,0.12,0.455,0.124
TCGA-CQ-A4CG,0.312,0.151,0.137
TCGA-CQ-A4CI,0.447,0.15,0.242
TCGA-CR-5243,0.585,0.129,0.366
TCGA-CR-5248,0.474,0.569,1.024
TCGA-CR-5249,0.537,0.369,0.855
TCGA-CR-5250,0.365,0.204,0.234
TCGA-CR-6467,0.283,0.223,0.176
TCGA-CR-6470,0.021,0.506,0.022
TCGA-CR-6472,0.534,0.2,0.46
TCGA-CR-6473,0.348,0.084,0.09
TCGA-CR-6474,0.282,0.904,0.709
TCGA-CR-6477,0.3,0.663,0.569
TCGA-CR-6478,0.309,0.731,0.653
TCGA-CR-6480,0.068,0.156,0.023
TCGA-CR-6481,0.069,1.021,0.152
TCGA-CR-6487,0.031,0.725,0.046
TCGA-CR-6488,0.264,0.718,0.514
TCGA-CR-6493,0.422,0.123,0.18
TCGA-CR-7365,0.406,0.276,0.379
TCGA-CR-7367,0.562,0.561,1.441
TCGA-CR-7368,0.37,0.212,0.249
TCGA-CR-7369,0.429,0.456,0.684
TCGA-CR-7370,0.339,0.179,0.184
TCGA-CR-7371,0.549,0.819,1.992
TCGA-CR-7373,0.236,0.35,0.216
TCGA-CR-7374,0.519,0.342,0.739
TCGA-CR-7377,0.67,1.435,5.835
TCGA-CR-7379,0.321,0.496,0.47
TCGA-CR-7382,0.236,1.659,1.027
TCGA-CR-7383,0.213,0.616,0.332
TCGA-CR-7390,0.399,0.325,0.432
TCGA-CR-7398,0.585,0.163,0.459
TCGA-CR-7399,0.418,0.324,0.466
TCGA-CR-7402,0.377,0.312,0.378
TCGA-CR-7404,0.413,0.749,1.053
TCGA-CV-5434,0.743,0.235,1.357
TCGA-CV-5436,0.332,0.227,0.226
TCGA-CV-5966,0.468,0.655,1.153
TCGA-CV-5976,0.626,0.402,1.344
TCGA-CV-5977,0.52,0.134,0.291
TCGA-CV-5979,0.722,0.088,0.456
TCGA-CV-6003,0.399,0.221,0.294
TCGA-CV-6433,0.419,0.178,0.258
TCGA-CV-6933,0.593,0.307,0.892
TCGA-CV-6934,0.267,0.619,0.45
TCGA-CV-6936,0.1,0.258,0.057
TCGA-CV-6939,0.138,0.547,0.175
TCGA-CV-6940,0.406,0.173,0.237
TCGA-CV-6941,0.313,0.267,0.243
TCGA-CV-6945,0.358,0.436,0.487
TCGA-CV-6948,0.275,0.12,0.091
TCGA-CV-6950,0.286,0.303,0.243
TCGA-CV-6954,0.377,0.324,0.392
TCGA-CV-6956,0.345,0.194,0.204
TCGA-CV-6959,0.189,0.439,0.205
TCGA-CV-6960,0.262,0.271,0.193
TCGA-CV-6961,0.408,0.366,0.505
TCGA-CV-7090,0.43,0.48,0.725
TCGA-CV-7091,0.115,0.416,0.108
TCGA-CV-7097,0.347,0.418,0.443
TCGA-CV-7100,0.315,0.371,0.341
TCGA-CV-7102,0.634,0.363,1.258
TCGA-CV-7103,0.256,0.266,0.183
TCGA-CV-7178,0.571,0.461,1.226
TCGA-CV-7236,0.323,1.33,1.267
TCGA-CV-7242,0.312,0.565,0.512
TCGA-CV-7245,0.324,0.186,0.179
TCGA-CV-7247,0.24,0.268,0.169
TCGA-CV-7248,0.179,0.936,0.409
TCGA-CV-7252,0.382,0.554,0.685
