Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-KL-8323,0.816,0.07,0.622
TCGA-KL-8324,0.888,0.08,1.266
TCGA-KL-8325,0.875,0.046,0.646
TCGA-KL-8326,0.885,0.132,2.036
TCGA-KL-8328,0.906,0.064,1.223
TCGA-KL-8329,0.776,0.164,1.134
TCGA-KL-8330,0.861,0.044,0.543
TCGA-KL-8331,0.867,0.064,0.83
TCGA-KL-8332,0.865,0.227,2.892
TCGA-KL-8334,0.784,0.163,1.185
TCGA-KL-8335,0.878,0.107,1.534
TCGA-KL-8336,0.826,0.133,1.269
TCGA-KL-8337,0.86,0.059,0.728
TCGA-KL-8338,0.89,0.15,2.422
TCGA-KL-8339,0.905,0.051,0.969
TCGA-KL-8340,0.81,0.156,1.332
TCGA-KL-8341,0.891,0.045,0.736
TCGA-KL-8343,0.839,0.196,2.049
TCGA-KL-8344,0.633,0.214,0.741
TCGA-KL-8345,0.869,0.104,1.37
TCGA-KM-8438,0.868,0.145,1.903
TCGA-KM-8439,0.747,0.203,1.194
TCGA-KM-8440,0.851,0.08,0.909
TCGA-KM-8441,0.657,0.544,2.085
TCGA-KM-8442,0.8,0.064,0.513
TCGA-KM-8443,0.875,0.057,0.807
TCGA-KM-8476,0.926,0.101,2.524
TCGA-KM-8477,0.842,0.37,3.932
TCGA-KM-8639,0.644,0.295,1.066
TCGA-KN-8418,0.818,0.067,0.598
TCGA-KN-8421,0.904,0.041,0.774
TCGA-KN-8423,0.832,0.123,1.22
TCGA-KN-8424,0.779,0.127,0.892
TCGA-KN-8425,0.748,0.187,1.112
TCGA-KN-8426,0.874,0.113,1.561
TCGA-KN-8428,0.919,0.104,2.34
TCGA-KN-8429,0.79,0.102,0.764
TCGA-KN-8431,0.914,0.121,2.572
TCGA-KN-8432,0.819,0.092,0.836
TCGA-KN-8434,0.772,0.155,1.052
TCGA-KN-8435,0.823,0.049,0.46
TCGA-KN-8436,0.886,0.038,0.597
TCGA-KN-8437,0.653,0.3,1.127
TCGA-KO-8403,0.724,0.189,0.99
TCGA-KO-8404,0.92,0.223,5.148
TCGA-KO-8405,0.755,0.445,2.744
TCGA-KO-8406,0.785,0.07,0.511
TCGA-KO-8407,0.765,0.119,0.774
TCGA-KO-8408,0.909,0.115,2.302
TCGA-KO-8409,0.91,0.082,1.667
TCGA-KO-8410,0.858,0.197,2.38
TCGA-KO-8411,0.824,0.078,0.729
TCGA-KO-8413,0.746,0.172,1.01
TCGA-KO-8414,0.906,0.087,1.681
TCGA-KO-8415,0.883,0.106,1.597
TCGA-KO-8416,0.848,0.076,0.85
TCGA-KO-8417,0.805,0.073,0.599
