Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-3Z-A93Z,0.688,0.595,2.627
TCGA-6D-AA2E,0.608,0.577,1.785
TCGA-A3-3308,0.457,0.65,1.091
TCGA-A3-3311,0.396,0.477,0.626
TCGA-A3-3313,0.764,0.213,1.375
TCGA-A3-3316,0.487,0.615,1.166
TCGA-A3-3317,0.506,0.593,1.215
TCGA-A3-3319,0.745,0.455,2.659
TCGA-A3-3320,0.494,0.205,0.401
TCGA-A3-3322,0.531,0.229,0.518
TCGA-A3-3323,0.508,0.423,0.873
TCGA-A3-3326,0.607,0.415,1.281
TCGA-A3-3331,0.362,0.35,0.398
TCGA-A3-3347,0.562,1.146,2.941
TCGA-A3-3351,0.48,0.401,0.738
TCGA-A3-3357,0.493,0.361,0.701
TCGA-A3-3358,0.524,0.451,0.995
TCGA-A3-3363,0.665,0.146,0.581
TCGA-A3-3367,0.467,0.247,0.434
TCGA-A3-3370,0.427,0.722,1.077
TCGA-A3-3372,0.559,0.314,0.794
TCGA-A3-3373,0.407,0.389,0.534
TCGA-A3-3376,0.441,1.016,1.604
TCGA-A3-3378,0.494,0.759,1.48
TCGA-A3-3380,0.574,0.334,0.898
TCGA-A3-3382,0.625,0.192,0.64
TCGA-A3-3383,0.876,0.285,4.019
TCGA-A3-3385,0.521,0.104,0.226
TCGA-A3-3387,0.444,0.478,0.763
TCGA-A3-A6NI,0.646,0.306,1.116
TCGA-A3-A6NJ,0.462,0.781,1.342
TCGA-A3-A6NL,0.502,0.472,0.953
TCGA-A3-A6NN,0.523,0.367,0.803
TCGA-A3-A8CQ,0.576,0.322,0.876
TCGA-A3-A8OU,0.621,0.352,1.156
TCGA-A3-A8OV,0.689,0.172,0.76
TCGA-A3-A8OW,0.502,0.373,0.753
TCGA-AK-3426,0.864,1.129,14.336
TCGA-AK-3436,0.834,0.226,2.259
TCGA-AK-3451,0.909,0.42,8.34
TCGA-AK-3455,0.593,0.401,1.17
TCGA-AK-3456,0.209,0.281,0.148
TCGA-AK-3458,0.868,0.3,3.941
TCGA-AS-3778,0.511,0.238,0.498
TCGA-B0-4698,0.882,0.634,9.49
TCGA-B0-4706,0.621,0.281,0.923
TCGA-B0-4710,0.584,0.28,0.787
TCGA-B0-4712,0.814,0.479,4.183
TCGA-B0-4810,0.561,0.539,1.376
TCGA-B0-4811,0.839,0.397,4.136
TCGA-B0-4815,0.64,0.946,3.363
TCGA-B0-4816,0.471,0.63,1.124
TCGA-B0-4818,0.479,0.513,0.943
TCGA-B0-4827,0.616,0.786,2.526
TCGA-B0-4852,0.748,0.333,1.976
TCGA-B0-4945,0.403,0.706,0.954
TCGA-B0-5077,0.489,0.416,0.797
TCGA-B0-5080,0.506,1.108,2.266
TCGA-B0-5084,0.905,0.12,2.278
TCGA-B0-5088,0.592,0.261,0.757
TCGA-B0-5092,0.692,0.866,3.894
TCGA-B0-5094,0.667,0.252,1.01
TCGA-B0-5095,0.474,0.881,1.589
TCGA-B0-5096,0.652,0.651,2.446
TCGA-B0-5097,0.513,0.818,1.722
TCGA-B0-5099,0.546,0.202,0.485
TCGA-B0-5100,0.769,0.316,2.108
TCGA-B0-5102,0.636,0.205,0.716
TCGA-B0-5104,0.51,0.414,0.862
TCGA-B0-5106,0.507,0.386,0.792
TCGA-B0-5107,0.883,0.35,5.297
TCGA-B0-5108,0.444,0.698,1.116
TCGA-B0-5109,0.822,0.973,9.01
TCGA-B0-5110,0.326,0.448,0.434
TCGA-B0-5113,0.475,0.297,0.537
TCGA-B0-5115,0.492,0.316,0.612
TCGA-B0-5116,0.639,0.324,1.148
TCGA-B0-5119,0.391,0.278,0.358
TCGA-B0-5120,0.494,0.51,0.996
TCGA-B0-5121,0.525,0.355,0.784
TCGA-B0-5400,0.813,1.098,9.579
TCGA-B0-5402,0.553,0.343,0.85
TCGA-B0-5690,0.506,0.481,0.986
TCGA-B0-5691,0.331,0.58,0.574
TCGA-B0-5692,0.623,0.355,1.172
TCGA-B0-5693,0.388,0.245,0.311
TCGA-B0-5694,0.568,0.301,0.79
TCGA-B0-5695,0.429,0.203,0.305
TCGA-B0-5696,0.594,0.442,1.291
TCGA-B0-5697,0.466,0.674,1.177
TCGA-B0-5698,0.441,0.202,0.318
TCGA-B0-5699,0.46,0.199,0.339
TCGA-B0-5701,0.682,0.375,1.604
TCGA-B0-5703,0.656,0.3,1.145
TCGA-B0-5705,0.387,0.31,0.391
TCGA-B0-5709,0.4,1.009,1.346
TCGA-B0-5710,0.384,0.364,0.454
TCGA-B0-5711,0.355,0.356,0.392
TCGA-B0-5712,0.578,0.184,0.504
TCGA-B0-5713,0.366,0.335,0.387
TCGA-B0-5812,0.331,0.482,0.478
TCGA-B2-4098,0.592,0.513,1.487
TCGA-B2-4099,0.749,0.296,1.772
TCGA-B2-4102,0.378,0.52,0.631
TCGA-B2-5633,0.496,0.318,0.625
TCGA-B2-5635,0.488,0.431,0.822
TCGA-B2-5639,0.584,0.331,0.931
TCGA-B2-5641,0.547,0.7,1.688
TCGA-B2-A4SR,0.403,0.377,0.51
TCGA-B4-5377,0.405,0.226,0.308
TCGA-B4-5834,0.376,0.369,0.445
TCGA-B4-5835,0.902,0.396,7.289
TCGA-B4-5836,0.293,0.552,0.458
TCGA-B4-5838,0.544,0.396,0.944
TCGA-B4-5843,0.408,0.166,0.229
TCGA-B4-5844,0.294,0.366,0.305
TCGA-B8-4143,0.791,0.355,2.69
TCGA-B8-4148,0.47,0.455,0.808
TCGA-B8-4151,0.544,0.106,0.252
TCGA-B8-4154,0.786,0.264,1.943
TCGA-B8-4620,0.597,0.166,0.492
TCGA-B8-4621,0.669,0.342,1.381
TCGA-B8-5158,0.582,0.757,2.109
TCGA-B8-5162,0.48,0.946,1.746
TCGA-B8-5163,0.462,0.822,1.412
TCGA-B8-5164,0.428,0.74,1.107
TCGA-B8-5165,0.278,0.802,0.618
TCGA-B8-5549,0.498,0.265,0.526
TCGA-B8-5550,0.675,0.652,2.704
TCGA-B8-5551,0.682,1.5,6.439
TCGA-B8-5552,0.294,0.738,0.614
TCGA-B8-5553,0.463,0.607,1.046
TCGA-B8-A54D,0.644,0.367,1.326
TCGA-B8-A54E,0.857,0.867,10.424
TCGA-B8-A54F,0.667,0.275,1.101
TCGA-B8-A54G,0.627,0.507,1.709
TCGA-B8-A54H,0.435,0.485,0.747
TCGA-B8-A54I,0.821,0.763,6.996
TCGA-B8-A54J,0.524,0.525,1.157
TCGA-B8-A7U6,0.611,0.466,1.461
TCGA-BP-4161,0.401,0.311,0.417
TCGA-BP-4162,0.409,0.372,0.515
TCGA-BP-4163,0.531,0.443,1.004
TCGA-BP-4164,0.553,0.113,0.278
TCGA-BP-4167,0.756,1.072,6.644
TCGA-BP-4760,0.337,0.645,0.655
TCGA-BP-4782,0.44,0.574,0.901
TCGA-BP-4795,0.347,0.67,0.711
TCGA-BP-4960,0.683,0.494,2.127
TCGA-BP-4961,0.372,0.501,0.593
TCGA-BP-4962,0.597,0.535,1.587
TCGA-BP-4964,0.453,0.244,0.405
TCGA-BP-4965,0.383,0.461,0.572
TCGA-BP-4967,0.564,0.197,0.51
TCGA-BP-4968,0.587,0.296,0.844
TCGA-BP-4972,0.371,0.253,0.298
TCGA-BP-4973,0.467,0.227,0.398
TCGA-BP-4974,0.502,0.607,1.223
TCGA-BP-4975,0.474,0.195,0.351
TCGA-BP-4977,0.507,0.227,0.466
TCGA-BP-4981,0.752,0.144,0.877
TCGA-BP-4985,0.896,0.377,6.511
TCGA-BP-4987,0.452,0.264,0.434
TCGA-BP-4989,0.645,0.531,1.926
TCGA-BP-4991,0.475,0.309,0.559
TCGA-BP-4992,0.899,0.524,9.276
TCGA-BP-4998,0.419,0.757,1.094
TCGA-BP-4999,0.423,0.58,0.85
TCGA-BP-5000,0.596,0.588,1.733
TCGA-BP-5004,0.524,0.36,0.791
TCGA-BP-5007,0.463,0.124,0.214
TCGA-BP-5010,0.74,0.748,4.247
TCGA-BP-5169,0.878,0.78,11.195
TCGA-BP-5170,0.625,0.518,1.724
TCGA-BP-5173,0.63,0.331,1.128
TCGA-BP-5174,0.672,0.366,1.504
TCGA-BP-5175,0.898,0.336,5.937
TCGA-BP-5176,0.551,0.383,0.94
TCGA-BP-5177,0.557,0.448,1.124
TCGA-BP-5178,0.724,0.419,2.197
TCGA-BP-5180,0.761,0.193,1.23
TCGA-BP-5183,0.695,0.293,1.336
TCGA-BP-5184,0.392,0.413,0.533
TCGA-BP-5185,0.893,0.14,2.322
TCGA-BP-5186,0.334,0.413,0.415
TCGA-BP-5187,0.895,0.661,11.326
TCGA-BP-5189,0.409,0.484,0.669
TCGA-BP-5190,0.629,0.316,1.072
TCGA-BP-5191,0.84,0.614,6.423
