Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-2V-A95S,0.91,0.571,11.525
TCGA-2Y-A9GS,0.886,0.264,4.127
TCGA-2Y-A9GY,0.211,0.297,0.158
TCGA-2Y-A9H0,0.902,0.092,1.692
TCGA-2Y-A9H2,0.233,0.251,0.152
TCGA-2Y-A9H5,0.605,0.219,0.672
TCGA-2Y-A9H7,0.348,0.113,0.121
TCGA-2Y-A9H8,0.919,0.186,4.253
TCGA-2Y-A9H9,0.586,0.082,0.232
TCGA-2Y-A9HA,0.881,0.151,2.226
TCGA-3K-AAZ8,0.825,0.107,1.011
TCGA-4R-AA8I,0.913,0.129,2.711
TCGA-5C-A9VG,0.906,0.332,6.362
TCGA-5C-A9VH,0.846,0.135,1.485
TCGA-5C-AAPD,0.696,0.379,1.731
TCGA-BC-A10R,0.881,0.211,3.117
TCGA-BC-A10T,0.77,0.216,1.447
TCGA-BC-A10U,0.899,0.105,1.859
TCGA-BC-A10W,0.591,0.175,0.505
TCGA-BC-A10Y,0.662,0.062,0.241
TCGA-BC-A10Z,0.775,0.044,0.304
TCGA-BC-A112,0.914,0.183,3.898
TCGA-BC-A216,0.877,0.117,1.662
TCGA-BC-A217,0.908,0.045,0.884
TCGA-BC-A3KF,0.851,0.131,1.501
TCGA-BC-A69H,0.226,0.136,0.08
TCGA-BC-A8YO,0.76,0.109,0.686
TCGA-BD-A2L6,0.929,0.104,2.7
TCGA-BD-A3EP,0.815,0.544,4.791
TCGA-BW-A5NQ,0.655,0.297,1.129
TCGA-CC-5258,0.873,0.228,3.127
TCGA-CC-5260,0.922,0.366,8.651
TCGA-CC-5261,0.07,0.344,0.052
TCGA-CC-5262,0.842,0.764,8.128
TCGA-CC-5263,0.808,0.159,1.341
TCGA-CC-A1HT,0.862,0.97,12.102
TCGA-CC-A3M9,0.912,0.78,16.246
TCGA-CC-A3MA,0.826,0.135,1.276
TCGA-CC-A3MB,0.908,0.119,2.335
TCGA-CC-A3MC,0.906,0.277,5.363
TCGA-CC-A5UC,0.893,0.738,12.295
TCGA-CC-A5UD,0.464,0.104,0.18
TCGA-CC-A5UE,0.915,0.097,2.069
TCGA-CC-A7IE,0.679,0.384,1.626
TCGA-CC-A7IF,0.834,0.098,0.985
TCGA-CC-A7IG,0.802,0.11,0.888
TCGA-CC-A7IH,0.916,0.082,1.788
TCGA-CC-A7II,0.923,0.173,4.145
TCGA-CC-A7IJ,0.894,0.381,6.415
TCGA-CC-A8HT,0.706,0.482,2.321
TCGA-CC-A8HU,0.917,0.083,1.83
TCGA-CC-A8HV,0.917,0.112,2.472
TCGA-CC-A9FS,0.931,0.126,3.423
TCGA-CC-A9FU,0.921,0.073,1.689
TCGA-CC-A9FW,0.928,0.189,4.872
TCGA-DD-A113,0.878,0.124,1.78
TCGA-DD-A114,0.861,1.042,12.951
TCGA-DD-A116,0.889,0.19,3.042
TCGA-DD-A118,0.919,0.235,5.374
TCGA-DD-A119,0.92,0.163,3.765
TCGA-DD-A11A,0.928,0.062,1.614
TCGA-DD-A11C,0.795,0.085,0.658
TCGA-DD-A1EC,0.806,0.605,5.027
TCGA-DD-A1EF,0.931,0.269,7.236
TCGA-DD-A1EG,0.912,0.331,6.871
TCGA-DD-A1EH,0.847,0.091,1.003
TCGA-DD-A1EI,0.92,0.526,12.125
TCGA-DD-A1EJ,0.914,0.166,3.542
TCGA-DD-A1EL,0.931,0.119,3.213
TCGA-DD-A39V,0.907,0.192,3.739
TCGA-DD-A39X,0.746,0.372,2.188
TCGA-DD-A39Y,0.914,0.152,3.253
TCGA-DD-A39Z,0.905,0.122,2.31
TCGA-DD-A3A1,0.928,0.18,4.673
TCGA-DD-A3A7,0.932,0.099,2.708
TCGA-DD-A3A9,0.882,0.252,3.766
TCGA-DD-A4NA,0.577,0.182,0.498
TCGA-DD-A4ND,0.864,0.66,8.391
TCGA-DD-A4NH,0.854,0.958,11.225
TCGA-DD-A4NN,0.718,0.076,0.386
TCGA-DD-A4NO,0.431,0.243,0.368
TCGA-DD-A4NQ,0.836,0.736,7.514
TCGA-DD-A4NR,0.612,0.784,2.478
TCGA-DD-A4NV,0.152,0.353,0.127
TCGA-DD-A73B,0.909,0.064,1.28
TCGA-DD-A73E,0.904,0.074,1.385
TCGA-DD-A73F,0.913,0.262,5.48
TCGA-DD-A73G,0.774,0.193,1.323
TCGA-DD-AA3A,0.919,0.131,2.973
TCGA-DD-AAC8,0.568,0.075,0.197
TCGA-DD-AACA,0.92,0.076,1.737
TCGA-DD-AACF,0.915,0.079,1.705
TCGA-DD-AACG,0.921,0.094,2.199
TCGA-DD-AACH,0.861,0.116,1.437
TCGA-DD-AACJ,0.88,0.065,0.958
TCGA-DD-AACK,0.895,0.161,2.728
TCGA-DD-AACL,0.904,0.588,11.033
TCGA-DD-AACN,0.295,0.179,0.15
TCGA-DD-AACP,0.875,0.088,1.232
TCGA-DD-AACQ,0.755,0.054,0.331
TCGA-DD-AACS,0.694,0.06,0.274
TCGA-DD-AACU,0.906,0.164,3.16
TCGA-DD-AACW,0.909,0.078,1.563
TCGA-DD-AACZ,0.341,0.335,0.347
TCGA-DD-AAD1,0.832,0.612,6.051
TCGA-DD-AAD5,0.56,0.205,0.523
TCGA-DD-AADB,0.787,0.305,2.251
TCGA-DD-AADC,0.929,0.215,5.596
TCGA-DD-AADD,0.325,0.068,0.065
TCGA-DD-AADF,0.789,0.044,0.329
TCGA-DD-AADG,0.597,0.168,0.496
TCGA-DD-AADI,0.068,0.188,0.028
TCGA-DD-AADK,0.913,0.703,14.73
TCGA-DD-AADL,0.883,0.116,1.744
TCGA-DD-AADM,0.451,0.116,0.191
TCGA-DD-AADO,0.915,0.184,3.959
TCGA-DD-AADP,0.921,0.158,3.7
TCGA-DD-AADV,0.451,0.127,0.209
TCGA-DD-AADW,0.635,0.077,0.268
TCGA-DD-AAE0,0.457,0.158,0.266
TCGA-DD-AAE2,0.822,0.157,1.452
TCGA-DD-AAEE,0.878,0.101,1.445
TCGA-DD-AAEG,0.871,0.148,1.999
TCGA-DD-AAVQ,0.582,0.482,1.346
TCGA-DD-AAVS,0.912,0.141,2.935
TCGA-DD-AAVU,0.9,0.048,0.863
TCGA-DD-AAVV,0.904,0.504,9.462
TCGA-DD-AAVZ,0.536,0.159,0.368
TCGA-DD-AAW0,0.911,0.507,10.419
TCGA-ED-A459,0.886,0.254,3.952
TCGA-ED-A5KG,0.655,0.707,2.689
TCGA-ED-A66X,0.867,0.365,4.778
TCGA-ED-A66Y,0.845,0.039,0.42
TCGA-ED-A7PX,0.909,0.242,4.87
TCGA-ED-A7PZ,0.898,0.065,1.146
TCGA-ED-A7XO,0.911,0.675,13.9
TCGA-ED-A7XP,0.929,0.212,5.532
TCGA-ED-A82E,0.889,0.137,2.183
TCGA-ED-A8O5,0.772,0.089,0.603
TCGA-ED-A8O6,0.909,0.143,2.85
TCGA-ED-A97K,0.733,0.465,2.556
TCGA-EP-A2KA,0.922,0.267,6.31
TCGA-EP-A2KB,0.924,0.082,1.98
TCGA-EP-A3JL,0.681,0.339,1.449
TCGA-EP-A3RK,0.781,0.642,4.593
TCGA-FV-A23B,0.795,0.124,0.958
TCGA-FV-A2QQ,0.927,0.3,7.59
TCGA-FV-A2QR,0.757,0.132,0.818
TCGA-FV-A3I1,0.649,0.233,0.864
TCGA-FV-A3R2,0.924,0.142,3.475
TCGA-FV-A495,0.752,0.431,2.606
TCGA-FV-A496,0.607,0.058,0.18
TCGA-FV-A4ZP,0.507,0.172,0.353
TCGA-FV-A4ZQ,0.533,0.262,0.599
TCGA-G3-A25S,0.919,0.126,2.863
TCGA-G3-A25T,0.926,0.197,4.916
TCGA-G3-A25U,0.829,0.044,0.423
TCGA-G3-A25Y,0.908,0.224,4.432
TCGA-G3-A25Z,0.903,0.156,2.906
TCGA-G3-A3CK,0.924,0.357,8.682
TCGA-G3-A5SI,0.873,0.052,0.708
TCGA-G3-A5SJ,0.674,0.188,0.777
TCGA-G3-A5SL,0.915,0.136,2.919
TCGA-G3-A6UC,0.833,0.057,0.568
TCGA-G3-A7M6,0.754,0.198,1.211
TCGA-G3-A7M9,0.89,0.172,2.772
TCGA-G3-AAV1,0.91,0.112,2.26
TCGA-G3-AAV2,0.893,0.105,1.747
TCGA-G3-AAV3,0.785,0.57,4.162
TCGA-G3-AAV4,0.914,0.077,1.649
TCGA-G3-AAV5,0.879,0.123,1.781
TCGA-G3-AAV6,0.908,0.097,1.914
