Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-05-4244,0.729,0.275,1.478
TCGA-05-4249,0.594,0.274,0.804
TCGA-05-4384,0.347,0.526,0.559
TCGA-05-4389,0.735,0.345,1.918
TCGA-05-4390,0.711,0.175,0.861
TCGA-05-4396,0.741,0.176,1.011
TCGA-05-4398,0.807,0.43,3.587
TCGA-05-4402,0.643,0.435,1.568
TCGA-05-4403,0.456,0.553,0.927
TCGA-05-4405,0.485,0.547,1.029
TCGA-05-4410,0.558,0.718,1.811
TCGA-05-4415,0.855,0.15,1.759
TCGA-05-4417,0.403,0.53,0.715
TCGA-05-4418,0.829,0.446,4.311
TCGA-05-4420,0.862,0.211,2.649
TCGA-05-4422,0.714,0.291,1.453
TCGA-05-4425,0.465,0.323,0.563
TCGA-05-4426,0.581,0.23,0.639
TCGA-05-4430,0.544,1.094,2.611
TCGA-05-4432,0.75,0.462,2.765
TCGA-05-4433,0.39,0.367,0.469
TCGA-05-5423,0.838,0.285,2.958
TCGA-05-5425,0.715,0.392,1.968
TCGA-05-5429,0.805,0.193,1.587
TCGA-05-5715,0.634,0.202,0.699
TCGA-35-3615,0.807,0.251,2.099
TCGA-38-4628,0.827,0.198,1.894
TCGA-38-4632,0.865,0.423,5.437
TCGA-38-6178,0.601,0.518,1.557
TCGA-44-2655,0.768,1.031,6.808
TCGA-44-2656,0.627,0.69,2.324
TCGA-44-2657,0.416,1.133,1.614
TCGA-44-2659,0.647,0.464,1.697
TCGA-44-2666,0.541,0.434,1.024
TCGA-44-3396,0.596,1.408,4.161
TCGA-44-3919,0.494,0.433,0.844
TCGA-44-4112,0.772,0.359,2.436
TCGA-44-5645,0.343,0.354,0.37
TCGA-44-6145,0.513,1.257,2.652
TCGA-44-6146,0.619,0.256,0.832
TCGA-44-6774,0.357,0.62,0.688
TCGA-44-6775,0.41,0.758,1.051
TCGA-44-6776,0.509,0.295,0.612
TCGA-44-6777,0.299,1.05,0.897
TCGA-44-6779,0.752,0.479,2.908
TCGA-44-7659,0.442,0.357,0.566
TCGA-44-7662,0.637,0.725,2.543
TCGA-44-7670,0.846,0.205,2.254
TCGA-44-7671,0.517,0.239,0.512
TCGA-44-7672,0.433,1.262,1.929
TCGA-44-8117,0.701,0.205,0.963
TCGA-44-8119,0.68,0.196,0.833
TCGA-44-8120,0.564,0.489,1.267
TCGA-44-A479,0.599,0.952,2.838
TCGA-44-A47A,0.604,0.46,1.405
TCGA-44-A47B,0.612,0.366,1.153
TCGA-44-A4SS,0.576,1.011,2.75
TCGA-44-A4SU,0.578,0.391,1.068
TCGA-49-4486,0.829,0.177,1.714
TCGA-49-4487,0.666,1.449,5.778
TCGA-49-4488,0.862,0.234,2.935
TCGA-49-4490,0.718,0.579,2.956
TCGA-49-4494,0.864,0.566,7.163
TCGA-49-4501,0.64,0.475,1.688
TCGA-49-4505,0.685,0.378,1.649
