Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-18-3406,0.889,0.609,9.723
TCGA-18-3407,0.553,0.698,1.73
TCGA-18-3410,0.793,0.185,1.419
TCGA-18-3411,0.867,0.212,2.772
TCGA-18-3412,0.872,0.13,1.772
TCGA-18-3414,0.754,0.155,0.954
TCGA-18-3415,0.831,0.391,3.853
TCGA-18-3416,0.819,0.336,3.034
TCGA-18-3417,0.869,0.563,7.442
TCGA-18-3421,0.872,0.361,4.928
TCGA-18-4083,0.837,0.198,2.036
TCGA-18-4721,0.681,0.8,3.416
TCGA-18-5592,0.841,0.136,1.441
TCGA-21-1071,0.787,0.579,4.274
TCGA-21-1075,0.864,0.124,1.572
TCGA-21-1080,0.851,0.184,2.114
TCGA-21-1081,0.852,0.404,4.65
TCGA-21-1082,0.805,0.283,2.327
TCGA-21-5782,0.88,0.505,7.433
TCGA-21-5783,0.731,0.225,1.225
TCGA-21-5786,0.818,0.239,2.158
TCGA-21-5787,0.806,0.363,3.021
TCGA-22-0940,0.72,0.841,4.315
TCGA-22-0944,0.891,0.301,4.92
TCGA-22-1002,0.495,0.883,1.729
TCGA-22-1011,0.532,0.978,2.224
TCGA-22-1012,0.871,0.627,8.462
TCGA-22-1016,0.479,0.756,1.39
TCGA-22-4591,0.83,0.127,1.233
TCGA-22-4593,0.784,0.16,1.16
TCGA-22-4594,0.731,0.627,3.409
TCGA-22-4595,0.734,0.697,3.855
TCGA-22-4599,0.769,0.341,2.268
TCGA-22-4601,0.706,0.168,0.81
TCGA-22-4605,0.399,0.9,1.195
TCGA-22-4607,0.864,0.331,4.219
TCGA-22-4609,0.4,0.72,0.961
TCGA-22-4613,0.752,0.331,2.005
TCGA-22-5471,0.856,0.373,4.442
TCGA-22-5472,0.367,0.311,0.36
TCGA-22-5473,0.778,0.243,1.71
TCGA-22-5474,0.589,0.425,1.219
TCGA-22-5477,0.855,0.118,1.394
TCGA-22-5478,0.718,0.395,2.008
TCGA-22-5479,0.771,0.728,4.895
TCGA-22-5480,0.745,0.229,1.342
TCGA-22-5481,0.874,0.155,2.143
TCGA-22-5482,0.772,0.244,1.655
TCGA-22-5483,0.852,0.184,2.124
TCGA-22-5485,0.81,0.213,1.812
TCGA-22-5489,0.584,0.609,1.711
TCGA-22-5491,0.865,0.158,2.021
TCGA-22-5492,0.561,0.384,0.98
TCGA-22-A5C4,0.843,0.22,2.363
TCGA-33-4532,0.87,0.15,2.008
TCGA-33-4533,0.755,0.118,0.728
TCGA-33-4538,0.806,0.251,2.082
TCGA-33-4547,0.636,0.528,1.848
TCGA-33-4566,0.867,0.348,4.516
TCGA-33-4583,0.892,0.259,4.268
TCGA-33-4586,0.88,0.407,5.962
TCGA-33-4587,0.863,0.064,0.813
TCGA-33-6738,0.864,0.482,6.147
TCGA-33-A4WN,0.837,0.743,7.63
TCGA-33-A5GW,0.843,0.133,1.428
TCGA-33-AAS8,0.852,0.323,3.713
TCGA-33-AASB,0.887,0.427,6.673
TCGA-33-AASD,0.821,0.147,1.35
TCGA-33-AASI,0.839,0.513,5.329
TCGA-33-AASJ,0.895,0.214,3.634
TCGA-33-AASL,0.892,0.73,12.111
TCGA-34-2596,0.732,0.333,1.821
TCGA-34-2600,0.818,0.073,0.651
TCGA-34-2608,0.359,1.181,1.32
TCGA-34-5231,0.891,0.176,2.877
TCGA-34-5232,0.613,1.128,3.571
TCGA-34-5236,0.688,1.009,4.451
TCGA-34-5239,0.561,0.384,0.979
TCGA-34-5240,0.841,0.198,2.101
TCGA-34-5927,0.87,0.179,2.392
TCGA-34-5928,0.677,0.423,1.776
TCGA-34-5929,0.817,0.207,1.84
TCGA-34-7107,0.737,0.204,1.14
TCGA-34-8454,0.522,0.683,1.49
TCGA-34-8455,0.509,0.383,0.796
TCGA-34-8456,0.649,0.214,0.792
TCGA-34-A5IX,0.886,0.587,9.141
TCGA-37-3783,0.886,0.761,11.825
TCGA-37-3789,0.845,0.321,3.508
TCGA-37-3792,0.755,0.613,3.781
TCGA-37-4130,0.895,0.355,6.079
TCGA-37-4132,0.875,0.38,5.335
TCGA-37-4133,0.896,0.152,2.617
TCGA-37-4141,0.876,0.211,2.971
TCGA-37-5819,0.868,0.143,1.895
TCGA-37-A5EL,0.879,0.122,1.771
TCGA-37-A5EN,0.791,0.288,2.171
TCGA-39-5011,0.727,0.807,4.291
TCGA-39-5016,0.822,0.297,2.743
TCGA-39-5019,0.742,0.6,3.456
TCGA-39-5021,0.796,0.729,5.685
TCGA-39-5022,0.452,1.229,2.031
TCGA-39-5024,0.777,0.981,6.822
TCGA-39-5028,0.633,1.191,4.104
TCGA-39-5029,0.759,0.456,2.876
TCGA-39-5030,0.434,1.232,1.892
TCGA-39-5031,0.641,0.461,1.649
TCGA-39-5034,0.828,0.321,3.088
TCGA-39-5035,0.772,0.364,2.46
TCGA-39-5036,0.882,0.322,4.826
TCGA-39-5037,0.887,0.253,3.961
TCGA-39-5039,0.526,1.313,2.909
TCGA-39-5040,0.786,0.236,1.741
TCGA-43-2576,0.681,0.811,3.468
TCGA-43-2578,0.795,0.457,3.543
TCGA-43-2581,0.565,0.681,1.767
TCGA-43-3394,0.819,0.234,2.114
TCGA-43-3920,0.886,0.298,4.649
TCGA-43-5668,0.711,0.576,2.831
TCGA-43-5670,0.819,0.241,2.178
TCGA-43-6143,0.881,0.059,0.875
TCGA-43-6647,0.509,1.58,3.271
