Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-2J-AAB1,0.433,0.768,1.172
TCGA-2J-AAB4,0.37,1.128,1.323
TCGA-2J-AAB6,0.817,0.35,3.124
TCGA-2J-AAB8,0.386,1.308,1.643
TCGA-2J-AABA,0.206,0.971,0.505
TCGA-2J-AABE,0.425,0.695,1.029
TCGA-2J-AABF,0.371,1.039,1.225
TCGA-2J-AABH,0.607,0.51,1.577
TCGA-2J-AABI,0.865,0.226,2.901
TCGA-2J-AABO,0.465,0.705,1.224
TCGA-2J-AABT,0.169,1.618,0.657
TCGA-2J-AABU,0.498,0.448,0.889
TCGA-2L-AAQA,0.647,0.308,1.128
TCGA-2L-AAQE,0.714,0.469,2.338
TCGA-2L-AAQI,0.39,1.23,1.57
TCGA-2L-AAQJ,0.623,0.613,2.028
TCGA-2L-AAQL,0.843,0.832,8.942
TCGA-3A-A9I5,0.857,0.957,11.458
TCGA-3A-A9I9,0.579,0.952,2.615
TCGA-3A-A9IB,0.591,0.768,2.221
TCGA-3A-A9IC,0.661,0.819,3.199
TCGA-3A-A9IU,0.61,0.369,1.156
TCGA-3A-A9IZ,0.573,0.361,0.968
TCGA-3A-A9J0,0.69,0.342,1.522
TCGA-3E-AAAZ,0.5,0.786,1.575
TCGA-F2-6879,0.55,0.256,0.626
TCGA-F2-A44G,0.519,0.956,2.06
TCGA-F2-A7TX,0.509,1.025,2.125
TCGA-F2-A8YN,0.565,0.393,1.018
TCGA-FB-A545,0.756,0.286,1.772
TCGA-FB-A78T,0.605,0.422,1.293
TCGA-FB-AAPQ,0.856,0.553,6.566
TCGA-FB-AAPU,0.858,0.223,2.693
TCGA-FB-AAPY,0.62,1.219,3.971
TCGA-FB-AAPZ,0.428,0.145,0.217
TCGA-FB-AAQ0,0.839,0.253,2.635
TCGA-FB-AAQ1,0.695,0.853,3.887
TCGA-FB-AAQ2,0.789,0.567,4.232
TCGA-FB-AAQ6,0.747,0.311,1.842
TCGA-H6-8124,0.515,0.252,0.534
TCGA-HV-A5A3,0.709,0.33,1.605
TCGA-HV-A5A4,0.4,0.394,0.525
TCGA-HV-A5A6,0.752,0.3,1.823
TCGA-HV-AA8X,0.767,0.305,2.003
TCGA-HZ-7919,0.27,0.756,0.559
TCGA-HZ-7922,0.251,0.539,0.362
TCGA-HZ-7925,0.251,1.434,0.963
TCGA-HZ-8005,0.647,0.612,2.24
TCGA-HZ-8315,0.178,1.267,0.547
TCGA-HZ-8636,0.348,0.604,0.643
TCGA-HZ-A49I,0.449,0.899,1.468
TCGA-HZ-A4BH,0.434,1.066,1.638
TCGA-HZ-A4BK,0.445,1.096,1.755
TCGA-HZ-A77O,0.799,0.662,5.263
TCGA-HZ-A77Q,0.224,1.517,0.873
TCGA-HZ-A8P0,0.526,0.773,1.715
TCGA-HZ-A8P1,0.742,0.25,1.438
TCGA-HZ-A9TJ,0.704,0.29,1.384
TCGA-IB-7644,0.367,0.296,0.342
TCGA-IB-7646,0.745,0.588,3.431
TCGA-IB-7649,0.026,1.993,0.105
TCGA-IB-7651,0.319,1.216,1.139
TCGA-IB-7886,0.494,0.337,0.658
TCGA-IB-7887,0.607,1.01,3.125
TCGA-IB-7889,0.614,1.959,6.24
TCGA-IB-7890,0.099,0.636,0.139
TCGA-IB-7893,0.727,1.016,5.413
TCGA-IB-8127,0.447,0.543,0.879
TCGA-IB-A5SP,0.803,0.204,1.66
TCGA-IB-A5SS,0.589,0.638,1.831
TCGA-IB-A6UF,0.847,0.371,4.094
TCGA-IB-A6UG,0.584,1.067,2.993
TCGA-IB-A7LX,0.78,0.262,1.861
TCGA-IB-A7M4,0.821,0.577,5.29
TCGA-IB-AAUN,0.502,0.435,0.877
TCGA-IB-AAUO,0.889,0.913,14.585
TCGA-IB-AAUQ,0.467,1.333,2.333
TCGA-IB-AAUU,0.554,0.466,1.158
TCGA-LB-A8F3,0.854,0.769,8.977
TCGA-M8-A5N4,0.51,0.952,1.978
TCGA-OE-A75W,0.874,0.42,5.852
TCGA-PZ-A5RE,0.702,0.526,2.472
TCGA-Q3-A5QY,0.545,0.834,1.996
TCGA-Q3-AA2A,0.64,0.401,1.428
TCGA-RB-A7B8,0.525,0.957,2.12
TCGA-S4-A8RM,0.481,0.289,0.536
TCGA-S4-A8RO,0.849,0.226,2.551
TCGA-S4-A8RP,0.287,0.497,0.4
TCGA-US-A776,0.867,0.096,1.247
TCGA-US-A779,0.819,0.56,5.076
TCGA-US-A77E,0.48,0.788,1.457
TCGA-US-A77G,0.506,0.686,1.407
TCGA-XD-AAUI,0.538,1.667,3.886
TCGA-XD-AAUL,0.472,0.921,1.649
TCGA-XN-A8T3,0.368,1.107,1.291
TCGA-YB-A89D,0.383,0.945,1.17
TCGA-YH-A8SY,0.66,0.981,3.811
TCGA-YY-A8LH,0.837,0.274,2.82
