Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-2A-A8VL,0.379,0.511,0.625
TCGA-2A-A8VO,0.38,0.4,0.49
TCGA-2A-A8VT,0.672,0.231,0.948
TCGA-2A-A8VV,0.427,0.147,0.219
TCGA-2A-A8W1,0.622,0.052,0.171
TCGA-2A-A8W3,0.58,0.659,1.819
TCGA-CH-5737,0.382,0.195,0.241
TCGA-CH-5738,0.236,0.475,0.293
TCGA-CH-5739,0.41,0.249,0.346
TCGA-CH-5740,0.453,0.252,0.418
TCGA-CH-5741,0.532,0.149,0.338
TCGA-CH-5744,0.564,0.375,0.97
TCGA-CH-5746,0.439,1.022,1.597
TCGA-CH-5748,0.44,1.32,2.074
TCGA-CH-5750,0.511,0.183,0.383
TCGA-CH-5752,0.67,0.151,0.615
TCGA-CH-5754,0.692,0.279,1.249
TCGA-CH-5761,0.899,0.229,4.09
TCGA-CH-5762,0.529,0.819,1.841
TCGA-CH-5764,0.401,0.436,0.583
TCGA-CH-5765,0.629,0.178,0.606
TCGA-CH-5766,0.63,0.361,1.226
TCGA-CH-5767,0.546,0.114,0.275
TCGA-CH-5768,0.613,0.218,0.69
TCGA-CH-5769,0.485,0.466,0.879
TCGA-CH-5772,0.473,0.152,0.273
TCGA-CH-5788,0.866,0.11,1.424
TCGA-CH-5790,0.47,0.128,0.227
TCGA-CH-5791,0.499,0.255,0.508
TCGA-CH-5794,0.534,0.36,0.827
TCGA-EJ-5496,0.465,0.53,0.922
TCGA-EJ-5497,0.385,0.646,0.811
TCGA-EJ-5498,0.109,1.069,0.261
TCGA-EJ-5499,0.457,0.572,0.961
TCGA-EJ-5504,0.341,0.804,0.832
TCGA-EJ-5505,0.334,0.558,0.559
TCGA-EJ-5507,0.659,0.276,1.066
TCGA-EJ-5508,0.306,0.913,0.806
TCGA-EJ-5510,0.288,0.768,0.621
TCGA-EJ-5511,0.571,0.163,0.432
TCGA-EJ-5512,0.21,0.85,0.452
TCGA-EJ-5514,0.732,0.361,1.967
TCGA-EJ-5516,0.466,0.82,1.433
TCGA-EJ-5517,0.343,0.211,0.221
TCGA-EJ-5518,0.66,0.434,1.688
TCGA-EJ-5519,0.605,0.266,0.815
TCGA-EJ-5521,0.548,0.683,1.66
TCGA-EJ-5522,0.544,0.512,1.218
TCGA-EJ-5524,0.481,0.423,0.784
TCGA-EJ-5525,0.841,0.084,0.883
TCGA-EJ-5526,0.543,0.415,0.985
TCGA-EJ-5527,0.423,0.638,0.934
TCGA-EJ-5530,0.471,0.473,0.841
TCGA-EJ-5531,0.144,1.344,0.454
TCGA-EJ-5532,0.457,0.238,0.4
TCGA-EJ-5542,0.516,0.361,0.768
TCGA-EJ-7115,0.239,0.41,0.257
TCGA-EJ-7123,0.431,0.841,1.272
TCGA-EJ-7125,0.45,0.235,0.385
TCGA-EJ-7314,0.417,0.337,0.482
TCGA-EJ-7315,0.454,0.308,0.511
TCGA-EJ-7317,0.266,0.287,0.209
TCGA-EJ-7321,0.445,0.515,0.824
TCGA-EJ-7327,0.367,0.509,0.59
TCGA-EJ-7328,0.348,0.693,0.738
TCGA-EJ-7331,0.267,0.566,0.413
TCGA-EJ-7781,0.439,0.381,0.596
TCGA-EJ-7782,0.687,0.195,0.858
TCGA-EJ-7784,0.631,0.115,0.393
TCGA-EJ-7786,0.25,0.412,0.275
TCGA-EJ-7788,0.599,0.223,0.666
TCGA-EJ-7793,0.112,1.141,0.287
TCGA-EJ-7794,0.199,0.915,0.455
TCGA-EJ-7797,0.389,0.823,1.049
TCGA-EJ-8468,0.053,0.395,0.044
TCGA-EJ-8469,0.685,0.142,0.616
TCGA-EJ-8470,0.59,0.624,1.795
TCGA-EJ-8472,0.86,0.185,2.263
TCGA-EJ-8474,0.383,0.394,0.49
TCGA-EJ-A46G,0.832,0.141,1.389
TCGA-EJ-A65E,0.463,0.316,0.545
TCGA-EJ-A65F,0.511,0.24,0.501
TCGA-EJ-A65G,0.359,0.8,0.897
TCGA-EJ-A65J,0.547,0.099,0.238
TCGA-EJ-A7NF,0.5,0.219,0.438
TCGA-EJ-A7NH,0.356,0.878,0.972
TCGA-EJ-A7NK,0.126,0.765,0.22
TCGA-EJ-A7NM,0.569,0.321,0.848
TCGA-EJ-A8FN,0.323,0.256,0.244
TCGA-EJ-A8FS,0.477,0.128,0.235
TCGA-FC-7708,0.237,0.868,0.54
TCGA-FC-7961,0.483,0.523,0.976
TCGA-FC-A5OB,0.72,0.112,0.577
TCGA-G9-6333,0.281,0.616,0.482
TCGA-G9-6342,0.381,0.523,0.644
TCGA-G9-6348,0.535,0.862,1.987
TCGA-G9-6351,0.263,1.021,0.729
TCGA-G9-6361,0.42,0.213,0.308
TCGA-G9-6364,0.342,0.377,0.393
TCGA-G9-6366,0.699,0.285,1.321
TCGA-G9-6371,0.475,1.122,2.032
TCGA-G9-6377,0.544,0.336,0.803
TCGA-G9-6378,0.249,1.297,0.858
TCGA-G9-6384,0.275,0.611,0.464
TCGA-G9-6494,0.342,0.377,0.393
TCGA-G9-6499,0.507,0.634,1.302
TCGA-G9-7510,0.289,0.979,0.795
TCGA-G9-7521,0.653,0.344,1.297
TCGA-G9-7522,0.259,1.394,0.977
TCGA-H9-7775,0.323,0.159,0.152
TCGA-HC-7075,0.439,0.158,0.248
TCGA-HC-7077,0.501,0.221,0.443
TCGA-HC-7078,0.522,0.206,0.45
TCGA-HC-7081,0.024,0.402,0.02
TCGA-HC-7209,0.32,0.405,0.381
TCGA-HC-7210,0.028,0.553,0.031
TCGA-HC-7211,0.56,0.236,0.601
TCGA-HC-7212,0.588,0.163,0.464
TCGA-HC-7213,0.655,0.137,0.522
TCGA-HC-7230,0.632,0.119,0.406
TCGA-HC-7231,0.415,0.198,0.281
TCGA-HC-7232,0.399,0.369,0.49
TCGA-HC-7736,0.452,0.356,0.587
TCGA-HC-7737,0.197,1.171,0.575
TCGA-HC-7742,0.411,0.38,0.53
TCGA-HC-7744,0.539,0.114,0.267
