Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-3M-AB46,0.813,0.198,1.721
TCGA-3M-AB47,0.248,0.689,0.454
TCGA-B7-A5TI,0.268,0.351,0.257
TCGA-B7-A5TJ,0.287,0.19,0.153
TCGA-B7-A5TK,0.275,1.178,0.893
TCGA-B7-A5TN,0.205,0.301,0.155
TCGA-BR-4187,0.173,1.398,0.585
TCGA-BR-4191,0.704,0.438,2.085
TCGA-BR-4201,0.424,0.9,1.326
TCGA-BR-4257,0.635,0.319,1.108
TCGA-BR-4279,0.343,0.98,1.023
TCGA-BR-4280,0.372,0.171,0.203
TCGA-BR-4357,0.694,0.468,2.122
TCGA-BR-4363,0.01,0.285,0.006
TCGA-BR-4366,0.449,0.132,0.215
TCGA-BR-4368,0.594,0.42,1.229
TCGA-BR-4370,0.698,0.7,3.238
TCGA-BR-6454,0.287,0.63,0.508
TCGA-BR-6456,0.552,0.627,1.548
TCGA-BR-6566,0.822,0.513,4.746
TCGA-BR-6801,0.34,0.312,0.322
TCGA-BR-6802,0.799,0.914,7.278
TCGA-BR-6852,0.337,0.882,0.897
TCGA-BR-7197,0.446,0.239,0.385
TCGA-BR-7707,0.153,0.352,0.128
TCGA-BR-7717,0.387,0.349,0.441
TCGA-BR-7723,0.201,0.206,0.103
TCGA-BR-7957,0.189,1.863,0.871
TCGA-BR-8058,0.456,1.341,2.245
TCGA-BR-8059,0.171,0.833,0.344
TCGA-BR-8077,0.544,0.181,0.432
TCGA-BR-8080,0.274,1.129,0.854
TCGA-BR-8081,0.334,0.85,0.851
TCGA-BR-8286,0.288,0.292,0.236
TCGA-BR-8291,0.22,1.001,0.566
TCGA-BR-8297,0.626,0.796,2.667
TCGA-BR-8364,0.384,2.14,2.663
TCGA-BR-8366,0.25,0.864,0.576
TCGA-BR-8367,0.336,0.735,0.746
TCGA-BR-8369,0.323,0.735,0.701
TCGA-BR-8373,0.233,0.283,0.171
TCGA-BR-8380,0.188,1.342,0.62
TCGA-BR-8483,0.191,0.12,0.057
TCGA-BR-8484,0.319,0.5,0.469
TCGA-BR-8485,0.562,0.313,0.803
TCGA-BR-8487,0.729,0.132,0.708
TCGA-BR-8588,0.56,1.232,3.142
TCGA-BR-8589,0.232,0.454,0.274
TCGA-BR-8590,0.183,0.904,0.406
TCGA-BR-8592,0.556,2.085,5.232
TCGA-BR-8687,0.558,0.242,0.611
TCGA-BR-A44U,0.49,0.287,0.552
TCGA-BR-A4CS,0.853,0.42,4.859
TCGA-BR-A4IV,0.769,0.489,3.258
TCGA-BR-A4J5,0.515,1.421,3.016
TCGA-BR-A4J6,0.145,0.368,0.124
TCGA-BR-A4J8,0.565,0.311,0.808
TCGA-CD-5799,0.339,0.216,0.222
TCGA-CD-5800,0.346,0.361,0.383
TCGA-CD-5804,0.344,0.566,0.592
TCGA-CD-8524,0.342,0.601,0.624
TCGA-CD-8530,0.198,0.778,0.384
TCGA-CD-8531,0.607,0.14,0.432
TCGA-CD-8532,0.362,0.583,0.661
TCGA-CD-A487,0.071,0.586,0.089
TCGA-CD-A489,0.855,0.654,7.704
TCGA-CD-A4MG,0.853,0.296,3.419
TCGA-CG-4301,0.691,0.731,3.271
TCGA-CG-4304,0.313,0.386,0.351
TCGA-CG-4305,0.356,0.66,0.728
TCGA-CG-4437,0.473,0.439,0.787
TCGA-CG-4438,0.159,0.194,0.073
TCGA-CG-4441,0.571,0.302,0.802
TCGA-CG-4442,0.206,0.162,0.084
TCGA-CG-4443,0.228,0.089,0.053
TCGA-CG-4444,0.277,0.276,0.211
TCGA-CG-4462,0.568,1.683,4.42
TCGA-CG-4465,0.258,0.23,0.16
TCGA-CG-4466,0.485,0.078,0.148
TCGA-CG-4469,0.145,0.113,0.038
TCGA-CG-4475,0.527,0.414,0.923
TCGA-CG-4476,0.753,0.796,4.86
TCGA-CG-4477,0.734,0.627,3.455
TCGA-CG-5718,0.249,0.347,0.231
TCGA-CG-5720,0.364,0.276,0.316
TCGA-CG-5721,0.819,0.519,4.704
TCGA-CG-5724,0.32,0.203,0.191
TCGA-D7-5577,0.738,0.295,1.665
TCGA-D7-5578,0.471,0.356,0.634
TCGA-D7-6519,0.432,0.127,0.193
TCGA-D7-6520,0.217,0.241,0.133
TCGA-D7-6524,0.502,1.504,3.037
TCGA-D7-6525,0.383,0.328,0.408
TCGA-D7-6527,0.512,0.24,0.504
TCGA-D7-6815,0.567,0.149,0.39
TCGA-D7-6818,0.542,0.546,1.293
TCGA-D7-8570,0.482,0.992,1.844
TCGA-D7-8575,0.525,0.304,0.671
TCGA-D7-8576,0.728,0.313,1.681
TCGA-D7-8578,0.196,0.992,0.482
TCGA-D7-8579,0.786,1.197,8.773
TCGA-D7-A4Z0,0.685,0.858,3.729
TCGA-D7-A6EX,0.315,0.11,0.101
TCGA-D7-A6F2,0.804,0.175,1.442
TCGA-D7-A74A,0.605,0.069,0.21
TCGA-F1-6874,0.142,0.34,0.112
TCGA-FP-7829,0.516,0.128,0.273
TCGA-FP-7916,0.354,0.773,0.846
