Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-4C-A93U,0.548,0.182,0.44
TCGA-BJ-A0Z3,0.347,0.688,0.731
TCGA-BJ-A0Z9,0.496,0.223,0.439
TCGA-BJ-A0ZB,0.37,0.386,0.453
TCGA-BJ-A0ZJ,0.29,0.308,0.252
TCGA-BJ-A18Z,0.374,0.938,1.12
TCGA-BJ-A2N8,0.577,0.3,0.819
TCGA-BJ-A2P4,0.638,0.117,0.41
TCGA-BJ-A3PR,0.342,0.664,0.689
TCGA-BJ-A45D,0.879,0.36,5.204
TCGA-BJ-A45E,0.507,1.524,3.132
TCGA-BJ-A45H,0.297,0.664,0.563
TCGA-CE-A13K,0.431,0.25,0.38
TCGA-CE-A27D,0.318,0.643,0.598
TCGA-CE-A3ME,0.345,0.5,0.526
TCGA-CE-A482,0.384,0.616,0.769
TCGA-CE-A483,0.301,0.468,0.402
TCGA-CE-A484,0.618,0.079,0.255
TCGA-DE-A0XZ,0.401,0.176,0.236
TCGA-DE-A3KN,0.451,0.182,0.299
TCGA-DE-A4M8,0.259,1.438,1.005
TCGA-DE-A4MB,0.489,0.409,0.783
TCGA-DE-A4MD,0.682,0.066,0.284
TCGA-DJ-A13M,0.581,0.096,0.266
TCGA-DJ-A13P,0.359,0.134,0.15
TCGA-DJ-A13R,0.671,0.636,2.591
TCGA-DJ-A13S,0.375,0.5,0.599
TCGA-DJ-A13U,0.265,0.892,0.642
TCGA-DJ-A13X,0.271,0.352,0.262
TCGA-DJ-A1QD,0.331,0.68,0.672
TCGA-DJ-A1QG,0.433,0.168,0.256
TCGA-DJ-A1QN,0.495,0.416,0.818
TCGA-DJ-A2PT,0.454,0.713,1.186
TCGA-DJ-A2PV,0.251,0.769,0.515
TCGA-DJ-A2PW,0.42,1.125,1.63
TCGA-DJ-A2PZ,0.269,0.321,0.236
TCGA-DJ-A2Q1,0.61,0.478,1.499
TCGA-DJ-A2Q5,0.366,0.592,0.684
