Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-2E-A9G8,0.903,0.069,1.28
TCGA-5B-A90C,0.837,0.091,0.928
TCGA-5S-A9Q8,0.756,0.053,0.327
TCGA-A5-A0G5,0.891,0.373,6.116
TCGA-A5-A0G9,0.815,0.054,0.474
TCGA-A5-A0GA,0.721,0.455,2.35
TCGA-A5-A0GB,0.768,0.079,0.525
TCGA-A5-A0GD,0.651,0.275,1.027
TCGA-A5-A0GE,0.62,0.302,0.985
TCGA-A5-A0GG,0.646,0.692,2.524
TCGA-A5-A0GH,0.633,0.046,0.158
TCGA-A5-A0GJ,0.926,0.126,3.161
TCGA-A5-A0GN,0.835,0.082,0.827
TCGA-A5-A0GQ,0.666,0.782,3.123
TCGA-A5-A0GR,0.816,0.512,4.541
TCGA-A5-A0R6,0.886,0.305,4.736
TCGA-A5-A0R7,0.765,0.222,1.443
TCGA-A5-A0R8,0.76,0.49,3.101
TCGA-A5-A0VP,0.721,0.144,0.743
TCGA-A5-A1OF,0.797,0.576,4.519
TCGA-A5-A1OG,0.83,0.164,1.6
TCGA-A5-A1OJ,0.569,0.403,1.063
TCGA-A5-A1OK,0.475,0.856,1.549
TCGA-A5-A2K2,0.803,0.081,0.661
TCGA-A5-A2K3,0.904,0.886,16.777
TCGA-A5-A2K4,0.699,0.308,1.432
TCGA-A5-A3LO,0.742,0.478,2.754
TCGA-A5-A3LP,0.883,0.208,3.147
TCGA-A5-A7WK,0.861,0.051,0.632
TCGA-AJ-A23M,0.802,0.089,0.722
TCGA-AJ-A23N,0.664,0.284,1.118
TCGA-AJ-A23O,0.596,0.262,0.774
TCGA-AJ-A2QK,0.641,0.348,1.244
TCGA-AJ-A2QL,0.626,0.199,0.666
TCGA-AJ-A2QM,0.819,0.073,0.657
TCGA-AJ-A2QN,0.588,0.275,0.787
TCGA-AJ-A2QO,0.707,0.299,1.441
TCGA-AJ-A3BF,0.912,0.139,2.884
TCGA-AJ-A3BG,0.903,0.084,1.556
TCGA-AJ-A3BH,0.582,0.314,0.875
TCGA-AJ-A3BI,0.939,0.097,2.971
TCGA-AJ-A3EJ,0.712,0.222,1.1
TCGA-AJ-A3EK,0.537,0.411,0.953
TCGA-AJ-A3EM,0.9,0.119,2.132
TCGA-AJ-A3I9,0.875,0.053,0.747
TCGA-AJ-A3IA,0.902,0.315,5.772
TCGA-AJ-A3NE,0.559,0.236,0.598
TCGA-AJ-A3NF,0.442,0.794,1.257
TCGA-AJ-A3NG,0.587,0.101,0.287
