Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-2Z-A9J1,0.718,0.177,0.899
TCGA-2Z-A9J2,0.901,0.311,5.665
TCGA-2Z-A9J3,0.821,0.066,0.605
TCGA-2Z-A9J5,0.882,0.298,4.457
TCGA-2Z-A9J6,0.726,0.115,0.609
TCGA-2Z-A9J7,0.863,0.057,0.72
TCGA-2Z-A9J8,0.806,0.104,0.863
TCGA-2Z-A9JD,0.567,0.131,0.343
TCGA-2Z-A9JE,0.827,0.043,0.411
TCGA-2Z-A9JI,0.849,0.749,8.433
TCGA-2Z-A9JJ,0.731,0.195,1.059
TCGA-2Z-A9JK,0.677,0.512,2.148
TCGA-2Z-A9JM,0.651,0.237,0.886
TCGA-2Z-A9JP,0.872,0.132,1.803
TCGA-2Z-A9JS,0.526,0.098,0.217
TCGA-2Z-A9JT,0.917,0.287,6.385
TCGA-4A-A93X,0.874,0.06,0.829
TCGA-5P-A9JU,0.864,0.132,1.682
TCGA-5P-A9JV,0.522,0.549,1.198
TCGA-5P-A9JW,0.779,0.296,2.093
TCGA-5P-A9JZ,0.639,0.151,0.535
TCGA-5P-A9K3,0.89,0.191,3.091
TCGA-5P-A9K6,0.624,0.176,0.586
TCGA-5P-A9K8,0.85,0.154,1.748
TCGA-5P-A9K9,0.868,0.219,2.88
TCGA-5P-A9KA,0.545,0.392,0.938
TCGA-5P-A9KC,0.736,0.39,2.175
TCGA-A4-7286,0.908,0.238,4.714
TCGA-A4-7288,0.683,0.053,0.228
TCGA-A4-7583,0.776,0.185,1.284
TCGA-A4-7585,0.574,0.699,1.884
TCGA-A4-7915,0.899,0.243,4.312
TCGA-A4-7996,0.529,0.223,0.5
TCGA-A4-7997,0.671,0.182,0.743
TCGA-A4-8098,0.856,0.112,1.325
TCGA-A4-8310,0.724,0.121,0.634
TCGA-A4-8515,0.558,0.059,0.15
TCGA-A4-8630,0.542,0.091,0.216
TCGA-A4-A4ZT,0.625,0.1,0.335
TCGA-A4-A57E,0.892,0.124,2.065
TCGA-A4-A5DU,0.797,0.049,0.384
TCGA-A4-A5XZ,0.692,0.158,0.712
TCGA-A4-A5Y0,0.758,0.04,0.248
TCGA-A4-A5Y1,0.894,0.128,2.164
TCGA-A4-A6HP,0.862,0.139,1.734
TCGA-A4-A7UZ,0.702,0.586,2.763
TCGA-AL-3466,0.908,0.163,3.233
TCGA-AL-3472,0.824,0.056,0.525
TCGA-AL-3473,0.91,1.011,20.374
TCGA-AL-7173,0.84,0.365,3.845
TCGA-B1-5398,0.884,0.805,12.307
TCGA-B1-A654,0.897,0.067,1.168
TCGA-B1-A655,0.711,0.291,1.433
TCGA-B1-A656,0.901,0.349,6.336
TCGA-B3-3925,0.663,0.189,0.742
TCGA-B3-3926,0.899,0.063,1.118
TCGA-B3-A6W5,0.654,0.082,0.312
TCGA-B9-4113,0.572,0.164,0.437
TCGA-B9-4115,0.84,0.134,1.406
TCGA-B9-4116,0.899,0.16,2.837
TCGA-B9-4117,0.739,0.202,1.148
TCGA-B9-A44B,0.91,0.069,1.395
TCGA-B9-A5W7,0.582,0.12,0.335
TCGA-B9-A5W8,0.796,0.427,3.337
TCGA-B9-A5W9,0.689,0.062,0.273
TCGA-B9-A69E,0.745,0.375,2.185
TCGA-B9-A8YI,0.745,0.157,0.918
TCGA-BQ-5875,0.705,0.123,0.585
TCGA-BQ-5876,0.912,0.137,2.846
TCGA-BQ-5877,0.768,0.222,1.466
TCGA-BQ-5879,0.895,0.203,3.437
TCGA-BQ-5880,0.725,0.624,3.294
TCGA-BQ-5881,0.895,0.236,4.031
TCGA-BQ-5882,0.883,0.312,4.692
TCGA-BQ-5883,0.526,0.511,1.132
TCGA-BQ-5885,0.876,0.217,3.063
TCGA-BQ-5886,0.847,0.211,2.34
TCGA-BQ-5887,0.859,0.479,5.842
TCGA-BQ-5888,0.866,0.736,9.554
TCGA-BQ-5890,0.885,0.16,2.458
TCGA-BQ-5891,0.851,0.061,0.701
TCGA-BQ-5892,0.677,0.298,1.249
TCGA-BQ-5893,0.869,0.108,1.422
TCGA-BQ-5894,0.815,0.609,5.362
TCGA-BQ-7044,0.798,0.08,0.637
TCGA-BQ-7048,0.702,0.136,0.64
TCGA-BQ-7050,0.468,1.27,2.237
TCGA-BQ-7053,0.453,0.267,0.444
TCGA-BQ-7055,0.888,0.129,2.042
TCGA-BQ-7058,0.856,0.105,1.247
TCGA-BQ-7061,0.589,0.128,0.367
TCGA-DW-7836,0.679,0.047,0.199
TCGA-DW-7840,0.781,0.093,0.664
TCGA-DW-7841,0.676,0.245,1.024
TCGA-DZ-6132,0.593,0.668,1.943
TCGA-DZ-6134,0.508,0.48,0.991
TCGA-EV-5903,0.61,0.278,0.869
TCGA-F9-A4JJ,0.891,0.219,3.572
TCGA-F9-A7Q0,0.891,0.126,2.074
TCGA-F9-A7VF,0.898,0.084,1.482
TCGA-F9-A8NY,0.901,0.193,3.512
TCGA-F9-A97G,0.766,0.537,3.511
TCGA-G7-6789,0.894,0.216,3.62
TCGA-G7-6792,0.673,0.15,0.618
TCGA-G7-6796,0.884,0.648,9.865
TCGA-G7-6797,0.873,0.044,0.6
TCGA-G7-7501,0.858,0.093,1.13
TCGA-G7-A4TM,0.655,0.094,0.357
TCGA-G7-A8LD,0.907,0.076,1.477
TCGA-G7-A8LE,0.54,0.133,0.313
TCGA-GL-6846,0.643,0.067,0.24
TCGA-GL-7773,0.617,0.146,0.47
TCGA-GL-7966,0.867,0.196,2.558
TCGA-GL-8500,0.823,0.079,0.735
TCGA-GL-A59T,0.804,0.192,1.579
TCGA-GL-A9DC,0.565,0.098,0.254
TCGA-GL-A9DE,0.503,0.077,0.157
